Title,Employer,Location,Date,Description,Industry,Source,Link
Mechanical or Electrical Technologist,Prestige Homes,Sussex,"Jun 20, 2024","For more than 40 years, Prestige Homes has been designing and building modular and prebuilt homes, multi-family complexes, as well as hotels and educational facilities. We use the latest equipment, systems and technologies, and our processes...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job/2083025/prestige-homes/mechanical-or-electrical-technologist/sussex-nb
Clinical Engineering Technologist 1/2,Service New Brunswick,Wakefield,"Jun 20, 2024",Service New Brunswick Clinical Engineering Technologist 1/2 Permanent Full-time R85-2024/25-206 Waterville Open Competition Service New Brunswick is seeking an individual to join the Health Services Division in the Clinical Engineering (CE) unit as...,"Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job/2083862/service-new-brunswick/clinical-engineering-technologist-1-2/waterville-nb
Overhead Crane Operators,Adecco Canada,Moncton,"Jun 20, 2024","Adecco is currently seeking full-time Overhead Crane Operators to join our esteemed client in Halifax, NS. This long-term, full-time project offers opportunities LOA and travel allowances. In this role, you will be responsible for safely and...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/overhead-crane-operators-50602500
Cage Cashier - PT,Great Canadian Entertainment,Moncton,"Jun 20, 2024","Position Summary Under the direction of the Cage management and supervisory team, this position is responsible for preparing and completing of all Cage transactions and for maintaining and securing assets. Must work well within a team, excel at...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/cage-cashier-pt-50602306
(CAN) Self Checkout Attendant,WAL-MART,Fredericton,"Jun 20, 2024","(CAN) Self Checkout Attendant Fredericton, Canada Retail Hourly Apply Save Job Walmart stores are at the heart of the local community As an associate, you’ll be the welcoming face our customers see each time they visit our stores. You offer that...","Sales, Services",WAL-MART,https://careers.walmart.ca/job/fredericton/can-self-checkout-attendant/4853/66613944544
"(CAN) Préposé au stockage, fruits et légumes",WAL-MART,Bathurst,"Jun 20, 2024","(CAN) Préposé au stockage, fruits et légumes Bathurst, Canada Retail Hourly Apply Save Job Walmart stores are at the heart of the local community As an associate, you’ll be the welcoming face our customers see each time they visit our stores. You...","Trades, Transport, Construction",WAL-MART,https://careers.walmart.ca/job/bathurst/can-prepose-au-stockage-fruits-et-legumes/4853/66624477568
(CAN) Self Checkout Attendant,WAL-MART,Saint John,"Jun 20, 2024","(CAN) Self Checkout Attendant St. John, Canada Retail Hourly Apply Save Job Walmart stores are at the heart of the local community As an associate, you’ll be the welcoming face our customers see each time they visit our stores. You offer that...","Sales, Services",WAL-MART,https://careers.walmart.ca/job/st-john/can-self-checkout-attendant/4853/66624597696
(CAN) Stock Unloader Associate,WAL-MART,Fredericton,"Jun 20, 2024","(CAN) Stock Unloader Associate Fredericton, Canada Retail Hourly Apply Save Job Walmart stores are at the heart of the local community As an associate, you’ll be the welcoming face our customers see each time they visit our stores. You offer that...","Business, Finance, Administration",WAL-MART,https://careers.walmart.ca/job/fredericton/can-stock-unloader-associate/4853/65658045088
Customer Experience Associate,TD Bank,Dieppe,"Jun 20, 2024","Work Location: Dieppe, New Brunswick, Canada Hours: 15 Line of Business: Personal & Commercial Banking Pay Details: We're committed to providing fair and equitable compensation to all our colleagues. As a candidate, we encourage you to have an open...","Sales, Services",mygwork,https://www.mygwork.com/en/jobs/td-bank-customer-experience-associate-424/detail/4850928/108152
Business Intelligence Analyst,Corporate Irving Group Moncton,Dieppe,"Jun 20, 2024","Business Intelligence Analyst Headquartered in Dieppe, New Brunswick, the J.D. Irving, Limited Moncton-based companies have plants, terminals, operations and sales offices throughout Canada and in the United States. We are a dynamic, rapidly growing...","Engineers, Architects, IT, Natural Science",Corporate Irving Group Moncton,https://careers.jdirving.com/jobs/business-intelligence-analyst-37465
Facilities Maintenance Student - Fall 2024,Real Estate,Saint John,"Jun 19, 2024","FACILITIES MAINTENANCE STUDENT - SEPTEMBER to December 2024 At J.D. Irving, Limited, you are part of an energetic team of professionals who lead with integrity and are passionate about achieving results. With a culture that nurtures talent and...",Unclassified occupation,Real Estate,https://careers.jdirving.com/jobs/facilities-maintenance-student-fall-2024-37451
Truck Driver,truck driver,Saint John,"Jun 19, 2024","Russel Metals is one of the largest metals distribution companies in North America, with a growing focus on value-added processing. It carries on business in three segments: metals service centers, energy field stores and steel distributors. Its...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/truck-driver-50532210
Aide Soignant Service Hospitalier H/F,Jobijoba,Location Unknown,"Jun 19, 2024",Votre mission Vous êtes AIDE SOIGNANT(E) (H/F) diplômée d'état et vous êtes en quête de nouveau challenge ? Un projet précis ? Besoin que l'on vous propose un éventail d'opportunités adaptées à vos envies et vos projets ? Nous sommes disponibles...,Health,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/aide-soignant-service-hospitalier-hf-50530386
Assistant Comptable en Cabinet H/F,Jobijoba,Location Unknown,"Jun 19, 2024","La société My Premium Consulting est un cabinet de recrutement spécialisé sur les profils en Expertise comptable - Audit - Social et Juridique. Nous vous proposons un accompagnement sur mesure au cours du processus de recrutement, et nous vous...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/assistant-comptable-en-cabinet-hf-50527245
Aide au Développement du Lien Social Via le Football H/F,Jobijoba,Location Unknown,"Jun 19, 2024",Aide au Développement du Lien Social Via le Football H/F En quelques mots - Aide à l'encadrement des séances (sous la responsabilité des éducateurs) - Aide à la gestion des goûters lors des ent Votre mission de Service CiviqueObjectifs Il s'agit de...,Management,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/aide-au-dveloppement-du-lien-social-via-le-football-hf-50526914
AIDE SOIGNANT EHPAD H/F,Jobijoba,Location Unknown,"Jun 19, 2024","Votre mission Notre agence Adecco médical, recherche pour l'un de nos clients, un aide-soignant (H/F) pour un poste en CDI à temps complet à pourvoir dès que possible au sein d'un EHPAD. Prônant la bienveillance autant au près de ses résidents que...","Processing, Manufacturing, Utilities",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/aide-soignant-ehpad-hf-50526524
Long Haul Driver,Professional Carriers Inc,Hartland,"Jun 19, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 2 years to less than 3 years Responsibilities Tasks - Operate and drive straight or articulated trucks to transport goods and materials - Perform...,"Trades, Transport, Construction",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41308455?source=searchresults
Post Office Assistant - Term,Canada Post,Sainte-Anne-de-Madawaska,"Jun 19, 2024",Job Requisition Id: 182147 Business Function: Retail Primary City: BAIE STE ANNE Other Location(s): Province: New Brunswick Employment Type: Temporary - New Employment Status: Term Language Requirement: Bilingual Imperative (--BB) Employee Class and...,"Business, Finance, Administration",Canada Post,https://jobs.canadapost.ca/job/BAIE-STE-ANNE-Post-Office-Assistant-Term-NB/582093517/
ALTERNANCE - ASSISTANT CHEF DE MARCHE H/F (Dieppe),SYSCO FRANCE,Dieppe,"Jun 19, 2024","Appuyez sur la touche de tabulation pour sélectionner le lien Passer au contenu. Sélectionnez la fréquence (en jours) de réception d’une alerte : Alternance - Assistant Chef de Marché H/F (Dieppe) Date de publication: 24 avr. 2024 Lieu: Dieppe,...",Unclassified occupation,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/alternance-assistant-chef-de-march-hf-dieppe-50527736
By Law and security Enforcement Officer,GardaWorld,Fredericton,"Jun 19, 2024","By Law and security Enforcement Officer Business Unit: Security Services Career Area: Security Guard Location: Fredericton, New Brunswick, CA Are you ready to suit up? More than a job – 26% of our corporate employees at GardaWorld started as...","Sales, Services",GardaWorld,https://jobs.garda.com/job/Fredericton-By-Law-and-security-Enforcement-Officer-New/1006655000/
Pre-Board Screening Officer,GardaWorld,Dieppe,"Jun 19, 2024","Pre-Board Screening Officer Business Unit: Aviation Services Career Area: Airport Security Screening Location: Dieppe, CA Amherst, CA Moncton, New Brunswick, CA If you are looking for a job at the airport where you play a key role in national...","Sales, Services",GardaWorld,https://jobs.garda.com/job/Dieppe-Pre-Board-Screening-Officer-NB/1143231300/
IT Analyst (18 months contract),Deloitte,Saint John,"Jun 19, 2024","Job Type: Temporary Contract Work Model: On-site Reference code: 126572 Primary Location: Saint John, NB All Available Locations: Saint John, NB Our Purpose At Deloitte, we are driven to inspire and help our people, organization, communities, and...","Engineers, Architects, IT, Natural Science",Deloitte,https://careers.deloitte.ca/job/Saint-John%2C-New-Brunswick%2C-Can-IT-Analyst-%2818-months-contract%29-NB/1180819100/
Class 5 Delivery Driver,Advantage Personnel,Saint John,"Jun 19, 2024","Job Class 5 Delivery Driver Location: Fredericton & Oromocto, NB Shift/Hours: Monday – Friday, 8:00 am – 5:00 pm (May Vary) Pay Rate: $17.00 - $19.00/hr Assignment Information: Advantage Personnel is currently looking for a Delivery Driver to join...","Trades, Transport, Construction",CareerBeacon,https://www.careerbeacon.com/en/job/2083078/advantage-personnel/class-5-delivery-driver/saint-john-nb
General Labor,Advantage Personnel,Moncton,"Jun 19, 2024","General Labour Moncton, NB Advantage Personnel is currently recruiting on behalf of our customer in Moncton, NB for a special project. Our customer is a leading company in the home improvement and renovation field. They are looking for reliable,...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/general-labor-50537138
Administrative Assistant,Advantage Personnel,Moncton,"Jun 19, 2024","Administrative Assistant Moncton, NB Advantage Personnel is currently recruiting for the role of Administrative Assistant on behalf of our client. We are looking for a highly motivated individual who is exceptionally organized, detail oriented, with...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/administrative-assistant-50530739
Cafe Assistant,Advantage Personnel,Moncton,"Jun 19, 2024","Café Assistant Moncton, NB We are currently looking for Café Assistant to join our client's team in Moncton, NB. Our client has grown to provide excellent customer experience to some of the world's leading brands in travel and ecommerce. Available...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/cafe-assistant-50530448
BILLINGUAL RECEPTIONIST,Advantage Personnel,Moncton,"Jun 19, 2024","Bilingual Receptionist Moncton, NB Our client is currently looking for a bilingual Receptionist to join their amazing team! They are the largest owner of commercial real estate in the Greater Moncton area and manage various properties throughout the...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/billingual-receptionist-50527464
Field Technician,Advantage Personnel,Saint John,"Jun 19, 2024",Field Technician: Location: Saint John Rate of Pay: $23.00 to $25.00 The Opportunity: We are looking for a Field Technician to join our team field support team in Newfoundland. If you're a natural leader and motivated by a fast-moving environment...,"Engineers, Architects, IT, Natural Science",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/field-technician-50527045
INDUSTRIAL PAINTERS,Advantage Personnel,Saint John,"Jun 19, 2024","Job Industrial Painters Location: Saint John, NB Shift/Hours: Monday – Friday, 7:00 am – 5:00 pm Pay Rate: $20.00/hr Assignment Information: Advantage Personnel is currently recruiting Industrial Painters to join our client's expanding team in Saint...","Processing, Manufacturing, Utilities",CareerBeacon,https://www.careerbeacon.com/en/job/2083077/advantage-personnel/industrial-painters/saint-john-nb
Recruiter,Advantage Personnel,Saint John,"Jun 19, 2024","Job Recruiter Location: Saint John, NB Shift/Hours : Monday - Friday, 8:00 am - 5:00 pm Rate of Pay : $20.00 - $21.00 an hour Assignment Information: Advantage Personnel is currently staffing for a Recruiter position on behalf of our client in Saint...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2083073/advantage-personnel/recruiter/saint-john-nb
Skilled general labor,Advantage Personnel,Moncton,"Jun 19, 2024","Advantage Personnel is recruiting for a Skilled General Labor for commercial and industrial building contractors in Moncton, New Brunswick. Available Shifts- Monday to Friday (sometimes Saturdays, on the rare occasion). Pay Rate- $20.00 per hour to...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/construction/skilled-general-labor-48645672
"Manager, Benefits & pension",Co-operators,Moncton,"Jun 19, 2024","Job Details Description Company: CGL Department: Total Rewards Employment Type: Regular Full-Time Work Model: Hybrid Language: English is required, French is an asset. The Opportunity: We are a leading Canadian financial services cooperative...",Management,Co-operators,https://recruiting.ultipro.com/COO5000COOP/JobBoard/163383cc-cbae-4201-956e-c5e437bbfeb3/OpportunityDetail?opportunityId=1085e0c0-444e-4f16-848b-1be1375d331c
Agent(e) aux ressources humaines,District scolaire francophone du Nord-Ouest,Edmundston,"Jun 19, 2024",Agent(e) aux ressources humaines District scolaire francophone du Nord-Ouest 19 juin 2024 Lieu : Edmundston Type d'emploi : Régulier Conditions d'emploi : temps plein permanant Postes disponibles : 1 TCHES PRINCIPALES : Ce poste relève de la...,Management,Édupôle Edmundston,https://edupole.ca/fr/acces-emploi/offres-demploi/agente-aux-ressources-humaones
Warehouse Associate,Randstad Canada,Moncton,"Jun 19, 2024","Company Name : Randstad Canada Description : Are you seeking employment opportunities in the Moncton, New Brunswick area? Randstad Canada is recruiting Warehouse Associates for our esteemed client in Moncton. If you are reliable, detail-oriented,...","Business, Finance, Administration",Randstad Canada,https://www.randstad.com/jobs/warehouse-associate_Moncton_43736614
Senior Costing Specialist,Bell Canada,Moncton,"Jun 19, 2024","Req Id: 410710 At Bell, we do more than build world-class networks, develop innovative services and create original multiplatform media content – we're revolutionizing how Canadians communicate. If you're ready to bring game-changing ideas to life...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2046672/bell-canada/senior-costing-specialist/moncton-nb
Immigration to Canada as a Housekeeper,VisaPlace LLC,Location Unknown,"Jun 19, 2024",Are you currently working and have experience as a Housekeeper and also interested in immigrating to Canada? We have wonderful news for you! Canada is inviting hundreds of thousands of foreign-born individuals to Canada every year! There are various...,"Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/immigration-to-canada-as-a-housekeeper-50535455
Cook,PIZZA TWINS,Moncton,"Jun 19, 2024","Overview Languages English or French Education - No degree, certificate or diploma Experience 1 to less than 7 months Green job Help - Green job - Help Green job - Help Green jobs contribute to environmental preservation, conservation, and...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41308763?source=searchresults
Postdoctoral Instructor in Mathematics,scholarshipdb,Location Unknown,"Jun 19, 2024","Posting Summary Subject to availability of funding, the Mathematics Department expects to offer one or more postdoctoral research and instructor positions that will begin in fall of 2024. Most of these positions are expected to be three-year...","Social, Legal, Education, Gov't",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/postdoctoral-instructor-in-mathematics-50530797
MAINTENANCE LABOURER,un-jobs.net,Saint John,"Jun 19, 2024","Job title: Maintenance labourer Company OSCO Construction Group Job description Job Description: About Us In business since 1960, we are an open shop, multi-trade, specialty contractor serving Atlantic Canada. Our three main operating divisions...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/maintenance-labourer-50536747
"Outreach, Communications and Recruitment Officer",University of New Brunswick,Fredericton,"Jun 19, 2024","Closing Date: July 5th, 2024 at 4:00PM RECRUITMENT & ENROLMENT UNB's Recruitment and Enrolment Office works to create great relationships and experiences for all those applying to and enrolling at the university. The office consists of domestic and...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2083030/university-of-new-brunswick/outreach-communications-and-recruitment-officer/fredericton-nb
IT PLANNING ANALYST,Medavie Blue Cross,Location Unknown,"Jun 19, 2024","IT Planning Analyst Apply now » Posting Date: Jun 19, 2024 Location: New Brunswick, CA Prince Edward Island, CA NL, CA Nova Scotia, CA ON, CA Company: Medavie Blue Cross What makes us a different kind of employer? As a national health solutions...","Business, Finance, Administration",Medavie Blue Cross,https://jobs.medaviebc.ca/job/IT-Planning-Analyst-New/582088217/
Administrative Assistant Audit,Medavie Blue Cross,Moncton,"Jun 19, 2024","Administrative Assistant Audit Apply now » Posting Date: Jun 12, 2024 Location: Moncton, New Brunswick, CA, E1C 8L3 Company: Medavie Blue Cross For over 75 years, Medavie Blue Cross has been a leading health and wellness partner for individuals,...","Business, Finance, Administration",Medavie Blue Cross,https://jobs.medaviebc.ca/job/Moncton-Administrative-Assistant-Audit-New-E1C-8L3/581876917/
TIM HORTONS SUPERVISOR,Compass Group Canada,Fredericton,"Jun 19, 2024","What's in it for you? - Join an award-winning culture. We have been recognized for being a Great Place to Work, in addition to being selected as a FORTUNE Global 500 Company, Best Workplaces Retail & Hospitality, and FORTUNE World's Most Admired...","Sales, Services",Job Monkey,https://www.jobmonkeyjobs.com/career/25846816/Tim-Hortons-Supervisor-Any-Fredericton-7477
Bilingual Help Desk Technician - Work at Home,Asurion,Location Unknown,"Jun 19, 2024","Bilingual Computer Help Desk Technician, Work at Home (New Brunswick, Canada) ROLE PURPOSE: As a Computer Help Desk Technician, your main duties consist of handling telephone calls and e-mail requests from customers who need assistance with...","Engineers, Architects, IT, Natural Science",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/bilingual-help-desk-technician-work-at-home-50531013
Service clerk to push carts,Loblaw Companies Ltd,Fredericton,"Jun 19, 2024","Referred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague. Come make your difference in communities across Canada, where authenticity, trust and making...","Sales, Services",Loblaw Companies Ltd,https://myview.wd3.myworkdayjobs.com/en-US/loblaw_careers/job/471-Smythe-St-Fredericton-NB/Service-clerk-to-push-carts_R2000472229
Asset Protection Representative,Loblaw Companies Ltd,Fredericton,"Jun 19, 2024","Referred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague. Come make your difference in communities across Canada, where authenticity, trust and making...","Sales, Services",Loblaw Companies Ltd,https://myview.wd3.myworkdayjobs.com/en-US/loblaw_careers/job/471-Smythe-St-Fredericton-NB/Asset-Protection-Representative_R2000472151
Pt Perpetual Inventory Clerk,Loblaw Companies Ltd,Sussex,"Jun 19, 2024","Referred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague. Come make your difference in communities across Canada, where authenticity, trust and making...","Business, Finance, Administration",Loblaw Companies Ltd,https://myview.wd3.myworkdayjobs.com/en-US/loblaw_careers/job/44-Lower-Cove-Rd-Sussex-NB/Pt-Perpetual-Inventory-Clerk_R2000472102-1
Deli clerk pt,Loblaw Companies Ltd - Head Office,Moncton,"Jun 19, 2024",Description Les candidats référés ne doivent pas postuler directement pour ce poste. Toutes les références de candidats doivent d’abord être soumises dans Workday par un collègue de Loblaw actuel. L’utilisation du masculin à pour but d’alléger le...,"Sales, Services",Jobillico,https://www.jobillico.com/fr/offre-d-emploi/loblaw-companies-ltd-head-officeeCkdVu/deli-clerk-pt/14049471?lshs=79b6d4f2acc87d0404965a9576f70e1ea024df57cd90dc12a56e93762e378c51&ipg=44&lijn=14049471&lijp=23666232&lirk=4&lids=0&lisp=0&liet=2
Merchandiser Part-Time (Charlottetown),Coca-Cola,Location Unknown,"Jun 19, 2024","About This Opportunity Coke Canada Bottling Merchandisers work in local grocery stores and retails helping our clients keep Coke Canada Bottling products fully stocked and available to consumers - keeping beverage sections, end caps, racks and...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/merchandiser-part-time-charlottetown-50527274
Room Attendant,New Castle Hotels,Moncton,"Jun 19, 2024","Job Description Room Attendant Do you like to take care of others and make them happy? Do you like the feeling you get when you see the results of your efforts shining, with everything perfect and in its place? Then you will be very happy working in...","Sales, Services",New Castle Hotels,https://recruiting.adp.com/srccar/public/RTI.home?c=2171607&d=ExternalCareerSite-CA#/
LOADBUILDER,Irvingoil,Saint John,"Jun 19, 2024",As a Loadbuilder you will schedule and support transportation resources to build efficient and cost-effective loads of liquid Irving Oil products. Your goal will be to utilize your strong time management and problem-solving skills to optimize...,"Trades, Transport, Construction",Irvingoil,https://irvingoil.wd3.myworkdayjobs.com/en-US/IOL_Careers_All-Positions/job/Saint-John/Loadbuilder_R124511-2
Fixed Term Chemical Technologist,Irving Oil Ltd.,Saint John,"Jun 19, 2024","Fixed Term Chemical Technologist page is loaded Fixed Term Chemical Technologist Apply locations Saint John time type Full time posted on Posted 2 Days Ago job requisition id R124523 As a Fixed Term Chemical Technologist, you will be responsible for...","Engineers, Architects, IT, Natural Science",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/fixed-term-chemical-technologist-50535037
Fixed Term Loadbuilder - Tractor Trailer Operations (Hybrid Opportunity),Irvingoil,Saint John,"Jun 19, 2024","As a Fixed Term Tractor Trailer Loadbuilder you will optimize asset, resource and product utilization within established policies and procedures to build efficient and cost-effective loads for our Tractor Trailer team. Your goal will be meet KPI...","Trades, Transport, Construction",Irvingoil,https://irvingoil.wd3.myworkdayjobs.com/en-US/IOL_Careers_All-Positions/job/Saint-John/Fixed-Term-Loadbuilder---Tractor-Trailer-Operations--Hybrid-Opportunity-_R124545
24-142 EST-Autism Expression of Interest,Anglophone North School District,Location Unknown,"Jun 19, 2024",Expression of Interest EST-AUTISM Competition # 24-142Miramichi-Rexton Area SchoolsDescription: EST-A contributes to the education of students with diverse needs in inclusive schools and classrooms by: Providing support for students with complex...,"Social, Legal, Education, Gov't",Apply To Education,https://network.applytoeducation.com/Applicant/AttJobPosting.aspx?JOB_POSTING_ID=fb0200ca-e197-40fe-b191-a22e4299611f
RED SEAL TECHNICIAN,Steele Auto Group,Dieppe,"Jun 19, 2024","Steele Auto Group is committed to providing the Best Customer Buying Experience and to solidify ourselves as the ""Trusted Destination for Everything Auto"" for employees and customers alike. Land Rover Moncton is seeking Red Seal Technicians to join...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/red-seal-technician-50528334
Client Care Associate,Steele Auto Group,Location Unknown,"Jun 19, 2024","Steele Auto Group 8 Basinview Dr Dartmouth, NS B3B 1G4, CAN Steele Auto Group has an immediate requirement for Client Care Associate to support our Nova Scotia, New Brunswick, PEI, and Newfoundland locations! The Client Care Associate is responsible...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/client-care-associate-50527375
Organic Vegetable Farm Crew Member,The Natural Trading Co,Location Unknown,"Jun 19, 2024","The Natural Trading Company Organic Farm is looking for bright, enthusiastic, hard-working people to help with field work. We are looking for candidates who are motivated, dependable, and able to work quickly and efficiently with the physical...","Farming, Fishing & Natural Resources",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/organic-vegetable-farm-crew-member-50526338
Housekeeping Attendant,Amsterdam Inn & Suites,Florenceville-Bristol,"Jun 19, 2024","Overview Languages English Education - No degree, certificate or diploma Experience Will train Work setting - Rural area - Hotel, motel, resort Responsibilities Tasks - Sweep, mop, wash and polish floors - Dust furniture - Vacuum carpeting, area...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41310580?source=searchresults
Cybersecurity Operation Analyst,Thales Group,Fredericton,"Jun 19, 2024","Location: Fredericton, Canada In fast changing markets, customers worldwide rely on Thales. Thales is a business where brilliant people from all over the world come together to share ideas and inspire each other. In aerospace, transportation,...","Engineers, Architects, IT, Natural Science",Thales Group,https://thales.wd3.myworkdayjobs.com/en-US/Careers/job/Fredericton/Cybersecurity-Operation-Analyst_R0240122-1
Customer Service Rep / Relief Delivery Driver - 4days (10hrs shift),Canadian Linen,Dieppe,"Jun 19, 2024","Relief Customer Service Rep (Delivery Driver) Job Category : In Unit-Service-Route Requisition Number : RELIE037000 Apply now - Posted : May 31, 2024 - Full-Time Locations Showing 1 location Description WHO WE ARE Canadian Linen & Uniform Service...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/customer-service-rep-relief-delivery-driver-4days-10hrs-shift-50527660
Truck Driver,Gulf Operators Ltd,Location Unknown,"Jun 19, 2024","Gulf Operators, Ltd. is a civil contractor experienced in all aspects of civil work including drilling and blasting, concrete work, excavation, water and sewer, as well as aggregate production and sales. At Gulf Operators Limited, you will discover...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/truck-driver-50530245
Clerk Retail Store,Lawtons,Saint John,"Jun 19, 2024",- Requisition ID: 40544 - Career Group: Lawtons - Job Category: Cosmetics - Travel Requirements: None - Country: Canada - Province: New Brunswick - City: Saint john - Location: Brunswick Square - Postal Code: e2l4w3 A proudly Canadian retail...,"Sales, Services",CareerBeacon,https://www.careerbeacon.com/en/job/1943319/lawtons/clerk-retail-store/saint-john-nb
Telstra Retail: Full Time Customer Service And Sales Consultant Bathurst,Telstra,Bathurst,"Jun 19, 2024","Employment Type Permanent Closing Date 3 July 2024 11:59pm Job Title Telstra Retail: Full Time Customer Service and Sales Consultant BATHURST Job Summary As a Retail Sales Consultant, you are passionate about delighting Telstra’s customers through...","Sales, Services",Tapwage_CA,https://tapwage.com/job/88941573-telstra-retail-full-time-customer-service-and-sales-consultant-bathurst
Sales (Fitness Advisor) - Dieppe Blvd and Aquatique St,GOODLIFE FITNESS,Dieppe,"Jun 19, 2024","Sales (Fitness Advisor) - Dieppe Blvd and Aquatique St page is loaded Sales (Fitness Advisor) - Dieppe Blvd and Aquatique St Apply locations Dieppe, New Brunswick time type Full time posted on Posted Yesterday job requisition id JR103009 SALES...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/sales-fitness-advisor-dieppe-blvd-and-aquatique-st-50526090
Personal Trainer - Moncton Mapleton Centre,GOODLIFE FITNESS,Moncton,"Jun 19, 2024","Personal Trainer - Moncton Mapleton Centre page is loaded Personal Trainer - Moncton Mapleton Centre Apply locations Moncton, New Brunswick time type Full time posted on Posted Yesterday job requisition id JR102934 PERSONAL TRAINER Who is a Personal...","Arts, Cultural, Recreation, Sports",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/personal-trainer-moncton-mapleton-centre-50536492
Fredericton Corporate Legal Assistant,McInnes Cooper,Fredericton,"Jun 19, 2024",Full time Legal Assistant Legal Support Legal Secretary Job Description Do you enjoy working in a team environment? Are you an experienced administrative professional looking for a new and exciting opportunity? Do you excel in providing exceptional...,"Social, Legal, Education, Gov't",Clearlegaljobs,https://clearlegaljobs.com/job/7541/fredericton-corporate-legal-assistant/
Médecin de famille communautaire à l’Unité de médecine familiale du Grand-Moncton,Vitalité Health Network,Moncton,"Jun 19, 2024","NOTE : Les personnes intéressées doivent annexer leur curriculum vitae à leur demande. SOMMAIRE DE L'EMPLOI : Sous la direction de la co-direction du Programme de formation en médecine de famille francophone du N.-B. , du chef du département de...",Health,Vitalité Health Network,https://vitalitenb.itacit.com/itacit-career-ui/postings/182622?CLIENT=73224542677&SID=4&LANGUAGE=fr
Resort Housekeeper - Part time,Woodlake Trails,Sussex,"Jun 19, 2024","Select how often (in days) to receive an alert: If you like to clean, join our team! We are looking for a Housekeeper to work with us at one of our resort locations. You will help us ensure our resort is kept looking well-tended and attractive. Help...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/resort-housekeeper-part-time-50527584
Customer Service Agent English New Brunswick,IO Solutions call Center,Location Unknown,"Jun 19, 2024","IO Solutions are looking for English-speaking candidates who enjoy challenges and love helping customers over the phone. Under the supervision of the Team Leader, the Customer Service Agent will be responsible for providing on-the-phone quality...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/customer-service-agent-english-new-brunswick-50526149
Electrical & Instrumentation Tradesperson,Irving Tissue Saint John,Saint John,"Jun 19, 2024","ELECTRICAL & INSTRUMENTATION TRADESPERSON The Opportunity: We currently have an opportunity within our operation for an Electrical & Instrumentation Tradesperson at Irving Tissue in Saint John, New Brunswick. As an Electrical & Instrumentation...","Trades, Transport, Construction",Irving Tissue Saint John,https://careers.jdirving.com/jobs/electrical-instrumentation-tradesperson-37453
