Job Title,Job ID,Location,Department,Posted Date,Close Date
RN 2 - Replacement,159967,Alberton,HS/CHSC/MaplewoodM/NrsgReplace,12/19/2023,Open Until Filled
Registered Nurse 2,159884,Charlottetown,HS/CHSC/BGH/Long-term Care,12/18/2023,Open Until Filled
Network Nursing Clinical Lead,159688,Souris,HS/CHSC/FHC/Nrsg Serv/Souris,12/08/2023,Open Until Filled
Cas. Med. Secretary 2,159493,Charlottetown,HS/CHSC/Networks-Queens East,12/06/2023,Open Until Filled
Casual Pharmacy Technician,160434,Multiple,HS/HSPF/HP/QEH/Pharmacy,12/05/2023,Open Until Filled
Dentist,159981,Charlottetown,HS/CHSC/PH/Dental Services,11/29/2023,Open Until Filled
Bilingual Admin Support Worker (Casual),160119,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/16/2023,Open Until Filled
Préposé(e) au soutien administratif bilingue,160119,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/16/2023,Open Until Filled
Casual Social Worker 19,160098,Charlottetown,,11/10/2023,Open Until Filled
Casual Administrative Support Worker,160045,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/07/2023,Open Until Filled
Casual Clerical Support Worker,160040,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/07/2023,Open Until Filled
Registered Nurse 1,159513,Alberton,HS/HSPF/WesternH/Emergency,11/06/2023,Open Until Filled
Registered Nurse 1,159513,Alberton,HS/HSPF/WesternH/Emergency,11/06/2023,Open Until Filled
Occupational Therapist 2,159246,Charlottetown,HS/MH&A/HP/HH/Cent.Programming,11/03/2023,Open Until Filled
Casual Registered Nurse 1,159853,Souris,HEALTH PEI,10/27/2023,Open Until Filled
Casual Registered Nurse 1,159854,Montague,HEALTH PEI,10/27/2023,Open Until Filled
Respiratory Therapist 1,159275,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,10/27/2023,Open Until Filled
Respiratory Therapist 1,159272,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,10/27/2023,Open Until Filled
Registered Nurse 1,159258,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,10/24/2023,Open Until Filled
Nurse Practitioner,158932,Prince County,HS/CHSC/Home Care/Prince,10/23/2023,Open Until Filled
Casual Occupational Therapist 1 (Allied Health),157621,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,10/19/2023,Open Until Filled
Casual Ward Clerk,157426,O'Leary,HS/CHSC/MSEH/LTC Nursing,10/19/2023,Open Until Filled
Diag. Sonographer Specialist,158797,Charlottetown,HS/HSPF/HP/QEH/DiagImag-Ultras,10/19/2023,Open Until Filled
Registered Nurse 2,159018,Charlottetown,HS/HSPF/HP/QEH/Ambulatory Care,10/19/2023,Open Until Filled
Registered Nurse 2,158863,Summerside,HS/HSPF/NS/PCH/Crisis Response,10/19/2023,Open Until Filled
Registered Nurse 1,159166,O'Leary,HS/HSPF/CommH/Acute Care Nrsg,10/18/2023,Open Until Filled
Cas Food Service Supervisor 2 - Nutrition Services,156049,Charlottetown,HEALTH PEI,10/17/2023,Open Until Filled
Casual LPN,159815,Montague,HEALTH PEI,10/17/2023,Open Until Filled
Registered Nurse 1 (Unit 1 - Orthopaedic/Oncology),155607,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,10/17/2023,Open Until Filled
Registered Nurse 1,159042,Montague,HS/HSPF/KCMH/Acute Care Nrsg,10/13/2023,Open Until Filled
Casual LPN,159207,Souris,HS/CHSC/ColvilleM/LTC Nursing,10/12/2023,Open Until Filled
Registered Nurse 1,159005,Souris,HS/HSPF/SourisH/Nursing,10/12/2023,Open Until Filled
BIL LPN,152406,Charlottetown,HS/CHSC/BGH/Harbour,10/11/2023,Open Until Filled
Bilingual Resident Care Worker,156938,Charlottetown,HS/CHSC/BGH/Harbour,10/11/2023,Open Until Filled
Registered Nurse 1,159132,Summerside,HS/MH&A/NS/PCH/Psychiatry,10/10/2023,Open Until Filled
Cas. Maintenance Worker,159114,Charlottetown,HS/MH&A/SP/HH/Maintenance,10/04/2023,Open Until Filled
Med Lab Technologist 1 - Chemistry,158770,Charlottetown,HS/HSPF/HP/QEH/Lab Med Chemis,10/03/2023,Open Until Filled
Registered Nurse 1 (Maternal Child Care - Primary Obstetrics),158297,Summerside,HS/HSPF/NS/PCH/Nrsg-Obs/Nurser,10/03/2023,Open Until Filled
Registered Nurse 1,158942,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,09/28/2023,Open Until Filled
Casual Addiction Worker (Male Only),157268,Charlottetown,HS/MH&A/AD Talbot House,09/11/2023,Open Until Filled
Nurse Practitioner,158184,O'Leary,HS/CHSC/FHC/O'Leary FHC,09/11/2023,Open Until Filled
Registered Nurse 1,158540,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,09/11/2023,Open Until Filled
RN 1 - Replacement,158338,O'Leary,HS/HSPF/CommH/Nrsg Replacement,09/05/2023,Open Until Filled
Casual Med Lab Assistant,158931,Charlottetown,HEALTH PEI,08/25/2023,Open Until Filled
Casual LPN,158361,Montague,HS/CHSC/RiverviewM/LTC Nursing,08/23/2023,Open Until Filled
Medical Secretary 2,157013,Summerside,HS/CHSC/FHC/HarboursideHlthCtr,08/17/2023,Open Until Filled
Cas Respiratory Therapist 1 (Allied Health),157791,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,08/14/2023,Open Until Filled
Casual Social Worker L19,152862,Undefined location,HS/MH&A/Mental Health/West,08/14/2023,Open Until Filled
Cas Physiotherapist 1 (Allied Health),157618,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,08/11/2023,Open Until Filled
LPN,154908,Charlottetown,HS/CHSC/Networks-Queens East,08/11/2023,Open Until Filled
Casual LPN,155303,Souris,HS/HSPF/SourisH/Nursing,08/10/2023,Open Until Filled
Medical Laboratory Technologist 1,158156,Summerside,HS/HSPF/HP/PCH/Lab Medicine,08/10/2023,Open Until Filled
Casual Speech Pathologist 18B,157788,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,08/01/2023,Open Until Filled
Cas. Clerk 6,155851,Souris,HS/CHSC/ColvilleM/Admin,07/31/2023,Open Until Filled
Registered Nurse 1 (Unit 1 - Orthopaedic/Oncology),157581,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,07/26/2023,Open Until Filled
Registered Nurse 1 (Unit 1 - Orthopaedic/Oncology),157582,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,07/26/2023,Open Until Filled
Registered Nurse 1,157698,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,07/25/2023,Open Until Filled
Nurse Practitioner,152770,Summerside,HS/CHSC/Home Care/Prince,07/20/2023,Open Until Filled
Ward Clerk,156353,O'Leary,HS/HSPF/CommH/Acute Care Nrsg,07/20/2023,Open Until Filled
Casual Cook 2,157708,Souris,HS/CHSC/SP/ColvilleM/Nutrition,07/19/2023,Open Until Filled
Occupational Therapist 2 - Inpatient Mental Health,155935,Charlottetown,HS/MH&A/NS/HH/MHIDP,07/19/2023,Open Until Filled
Pharmacy Technician,156770,Summerside,HS/HSPF/HP/PCH/Pharmacy,07/19/2023,Open Until Filled
Registered Nurse 1,156491,Alberton,HS/HSPF/WesternH/Emergency,07/19/2023,Open Until Filled
Registered Nurse 1 (Emergency),155748,Charlottetown,HS/HSPF/NS/QEH/Nrsg Emergency,07/19/2023,Open Until Filled
TO CREATE A CASUAL LIST - Cook 2,158163,Charlottetown,HS/HSPF/SP/QEH/Nutrition Serv,07/19/2023,Open Until Filled
BIL Social Service Worker L13,155343,Summerside,HS/CHSC/CHC-Administration,07/18/2023,Open Until Filled
Medical Laboratory Technologist 1,154685,Summerside,HS/HSPF/HP/PCH/Lab Medicine,07/18/2023,Open Until Filled
Nurse Practitioner,154711,Summerside,HS/CHSC/FHC/HarboursideHlthCtr,07/18/2023,Open Until Filled
Nurse Practitioner - Neonatal Nursery,155392,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 4,07/18/2023,Open Until Filled
Physiotherapist 1,155738,Montague,HS/HSPF/KCMH/Physiotherapy,07/18/2023,Open Until Filled
Psychologist Student Wellbeing Team,155076,Charlottetown,HS/MH&A/MASST Colonel Gray,07/18/2023,Open Until Filled
Registered Midwife,154117,Charlottetown,HS/CHSC/PC-Administration,07/18/2023,Open Until Filled
Registered Nurse 1,154952,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,07/18/2023,Open Until Filled
Registered Nurse 1,155333,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,07/18/2023,Open Until Filled
Registered Nurse 2,154379,Alberton,HS/CHSC/MaplewoodM/LTC Nursing,07/18/2023,Open Until Filled
Registered Nurse 2 - Float,153912,Charlottetown,HS/HSPF/PatientFlow&SystUtiliz,07/18/2023,Open Until Filled
Registered Nurse 2 - Float,153911,Charlottetown,HS/HSPF/PatientFlow&SystUtiliz,07/18/2023,Open Until Filled
Registered Nurse 2 -Float,153909,West Prince,HS/HSPF/PatientFlow&SystUtiliz,07/18/2023,Open Until Filled
Casual Utility Worker(Maintenance),148220,Charlottetown,HS/HSPF/SP/QEH/Maintenance,07/17/2023,Open Until Filled
Nurse Practitioner,152930,Tignish,HS/CHSC/FHC/Alberton HlthCtr,07/17/2023,Open Until Filled
Occupational Therapist 2,145149,O'Leary,HS/CHSC/MSEH/Occup Therapy,07/17/2023,Open Until Filled
RN 2 - Replacement,151595,Summerside,HS/CHSC/WedgewoodM/NrsgReplace,07/17/2023,Open Until Filled
Registered Nurse 1,151780,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,07/17/2023,Open Until Filled
Registered Nurse 1,152719,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,07/17/2023,Open Until Filled
Registered Nurse 1 (Surgery/Restorative/Medical/Palliative/Replacement)(Primary Surgery),147039,Summerside,HS/HSPF/NS/PCH/Replacem/Float,07/17/2023,Open Until Filled
Casual Cook 2,156155,Montague,HS/CHSC/SP/RiverviewM/Nutritio,07/14/2023,Open Until Filled
Casual Maintenance Tradesperson,155653,O'Leary,HS/HSPF/SP/CommH/Maintena,07/14/2023,Open Until Filled
Casual Procurement Technician - Materials Management,156138,Charlottetown,HS/Fin/Materials Management,07/14/2023,Open Until Filled
Casual Registered Nurse 1,155231,Charlottetown,HS/MH&A/NS/HH/Nrsg Casual,07/14/2023,Open Until Filled
Cas Cardiology Technologist - Cardio-Respiratory,139560,Charlottetown,HS/HSPF/HP/QEH/Cardio Respirat,07/13/2023,Open Until Filled
Cas Nurse Practitioner,152449,Montague,HS/CHSC/FHC/Montague-East,07/13/2023,Open Until Filled
Cas Power Engineer 4A,153897,Montague,HS/HSPF/SP/KCMH/Maintenance,07/13/2023,Open Until Filled
Cas. Clerk 4,157367,Alberton,HS/HSPF/CommH/Admitting,07/13/2023,Open Until Filled
Casual BCCO/Power Engineer 3rd Class,153697,Charlottetown,HS/HSPF/SP/QEH/Plant Operation,07/13/2023,Open Until Filled
Casual Cook 2,140276,Undefined location,HEALTH PEI,07/13/2023,Open Until Filled
Casual Med Rad Technologist 2,155010,Charlottetown,HS/HSPF/HP/QEH/DiagImag Nuclea,07/13/2023,Open Until Filled
Casual Medical Radiation Technologist 2 (MRI - Diagnostic Imaging),155051,Charlottetown,HEALTH PEI,07/13/2023,Open Until Filled
Casual Pastoral Care Clinician,156933,Charlottetown,HS/HSPF/HP/QEH/Pastoral Care,07/13/2023,Open Until Filled
Casual Pharmacy Technician,152784,Summerside,HS/HSPF/HP/QEH/Pharmacy,07/13/2023,Open Until Filled
Casual Physiotherapist 1 - Physical Medicine,140645,Charlottetown,HS/HSPF/HP/QEH/Phys Med Physio,07/13/2023,Open Until Filled
Casual Registered Nurse 1,149660,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,07/13/2023,Open Until Filled
Casual Registered Nurse 1,149659,Alberton,HS/HSPF/WesternH/Emergency,07/13/2023,Open Until Filled
Casual Registered Nurse 2,153579,Souris,HS/CHSC/ColvilleM/LTC Nursing,07/13/2023,Open Until Filled
Casual Registered Nurse 2 (BGH/PEH),154369,Charlottetown,HS/CHSC/BGH/Long-term Care,07/13/2023,Open Until Filled
Casual Service Worker 1,155073,Souris,HS/HSPF/SP/SourisH/Environ,07/13/2023,Open Until Filled
Casual Social Service Wkr 13,153652,Charlottetown,HEALTH PEI,07/13/2023,Open Until Filled
Casual Social Service Worker L13,140188,Multiple,HS/MH&A/AD Youth Addictions,07/13/2023,Open Until Filled
Casual Speech Pathologist - Physical Medicine,140666,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,07/13/2023,Open Until Filled
Physiotherapist 2,156543,Montague,HS/CHSC/Home Care/Kings,06/20/2023,Open Until Filled
Registered Nurse 1(Unit 1 - Orthopaedic/Oncology),156529,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,05/15/2023,Open Until Filled
School Admin Assistant - LM Montgomery,163582,Public Schools Branch,ESB/Sch/BFDF/EliotRivr/Admin,06/26/2024,07/03/2024
School Admin Assistant - Westwood Primary,163587,Public Schools Branch,ESB/Sch/BFDF/Westwood/Admin,06/26/2024,07/03/2024
Westwood Primary - Educational Assistant,163568,Public Schools Branch,ESB/Sch/BFDF/Westwood/EduSup,06/26/2024,07/03/2024
Westwood Primary - Educational Assistant,163567,Public Schools Branch,ESB/Sch/BFDF/Westwood/EduSup,06/26/2024,07/03/2024
Westwood Primary - Student Attendant,163569,Public Schools Branch,ESB/Sch/BFDF/Westwood/EduSup,06/26/2024,07/03/2024
Amherst Cove Consolidated-Educational Assistant,163508,Public Schools Branch,ESB/Sch/KNKF/AmherstCv/EduSup,06/25/2024,07/02/2024
Cardigan Consolidated - Relief Custodian I,163532,Public Schools Branch,ESB/Sch/MTGF/Cardigan/Maint,06/25/2024,07/02/2024
EAL Online Itinerant Teacher,163530,Public Schools Branch,ESB/BrdAdm/EALFAL/Admin,06/25/2024,06/27/2024
Grade 1 Teacher @ Glen Stewart,163521,Public Schools Branch,ESB/Sch/CHRF/GlenStwrt/Instrct,06/25/2024,06/27/2024
Grade 3/4 Teacher @ Morell Consolidated,163529,Public Schools Branch,ESB/Sch/MRLF/MorellCns/Admin,06/25/2024,06/27/2024
Grade 4 French Immersion Teacher @ Bloomfield,163535,Public Schools Branch,ESB/Sch/WSTF/Bloomfield/Instrc,06/25/2024,06/27/2024
Grade 4 Teacher @ Eliot River,163527,Public Schools Branch,ESB/Sch/BFDF/EliotRivr/Instrct,06/25/2024,06/27/2024
Grade 4/5 Teacher @ Southern Kings,163528,Public Schools Branch,ESB/Sch/MTGF/SouthKings/Admin,06/25/2024,06/27/2024
Grade 7, 8 & 9 Language Arts Teacher @ Hernewood,163531,Public Schools Branch,ESB/Sch/WSTF/Hernewood/Instrct,06/25/2024,06/27/2024
Grade 7,8,9 Core French and Grade 8,9 French Immersion Social Studies Teacher @ Hernewood,163540,Public Schools Branch,ESB/Sch/WSTF/Hernewood/Instrct,06/25/2024,06/27/2024
Indigenous Support Teacher @ Morell Consolidated,163087,Public Schools Branch,ESB/Sch/MRLF/MorellCns/Instrct,06/25/2024,06/27/2024
Music Teacher @ Montague Consolidated,163534,Public Schools Branch,ESB/Sch/MTGF/MontagCns/Instrct,06/25/2024,06/27/2024
Phys Ed and Gr 7-9 Science, Social Studies and Exploratory Teacher @ Hernewood,163533,Public Schools Branch,ESB/Sch/WSTF/Hernewood/Instrct,06/25/2024,06/27/2024
Prince Street Elementary-Educational Assistant,163507,Public Schools Branch,ESB/Sch/CLGF/PrinceSt./EduSup,06/25/2024,07/02/2024
Relief Educational Assistant - Alberton Elementary,163489,Public Schools Branch,ESB/Sch/WSTF/Alberton/EduSup,06/25/2024,07/02/2024
Relief Educational Assistant - Alberton Elementary,163493,Public Schools Branch,ESB/Sch/WSTF/Alberton/EduSup,06/25/2024,07/02/2024
Relief Educational Assistant - Charlotttown Rural Senior High,163495,Public Schools Branch,ESB/Sch/CHRF/ChtownRrl/EduSup,06/25/2024,07/02/2024
Relief Educational Assistant - Eliot River Elementary,163496,Public Schools Branch,ESB/Sch/BFDF/EliotRivr/EduSup,06/25/2024,07/02/2024
Relief Educational Assistant - Prince Street Elementary,163497,Public Schools Branch,ESB/Sch/CLGF/PrinceSt./EduSup,06/25/2024,07/02/2024
Relief Educational Assistant - West Royalty Elementary,163498,Public Schools Branch,ESB/Sch/CLGF/WestRylty/EduSup,06/25/2024,07/02/2024
Somerset Elementary-Educational Assistant,163506,Public Schools Branch,ESB/Sch/KNKF/Somerset/EduSup,06/25/2024,07/02/2024
Kindergarten Teacher @ Gulf Shore,163500,Public Schools Branch,ESB/Sch/BFDF/GulfShore/Admin,06/24/2024,06/27/2024
Cleaner - Charlottetown Rural,163467,Public Schools Branch,ESB/Sch/CHRF/ChtownRrl/Maint,06/21/2024,06/28/2024
School Bus Driver A - Serving Westisle Family of Schools,163442,Public Schools Branch,ESB/BrdAdm/CrpSer/Trans West,06/21/2024,06/28/2024
Cleaner - Morell Regional,163443,Public Schools Branch,ESB/Sch/MRLF/MorellReg/Maint,06/20/2024,06/27/2024
Cleaner - Spring Park,163438,Public Schools Branch,ESB/Sch/CLGF/SpringPrk/Maint,06/20/2024,06/27/2024
Custodian I - St. Louis,163439,Public Schools Branch,ESB/Sch/WSTF/StLouis/Maint,06/20/2024,06/27/2024
Custodian II - East Wiltshire,163441,Public Schools Branch,ESB/Sch/BFDF/EastWilts/Maint,06/20/2024,06/27/2024
French Teacher / Enseignant(e) de Français,161021,Public Schools Branch,Public Schools Branch,01/23/2024,07/19/2024
Casual Bus Driver,158137,Public Schools Branch,Public Schools Branch,01/05/2024,Open Until Filled
Certified Substitute Teacher,158135,Public Schools Branch,ESB/BrdAdm/CurrDel/Instrct/Sub,01/05/2024,Open Until Filled
Substitute Educational Assistant Certified,159685,Public Schools Branch,ESB/BrdAdm/CurrDel/Instrct/Sub,01/05/2024,Open Until Filled
Substitute Youth Service Wkr,158332,Public Schools Branch,Public Schools Branch,01/05/2024,Open Until Filled
